Eclipse timings	&	Error	&	E	&	O-C	&	Reference
2451406.63407 	&	        	&	-22435	&	-0.35062818 	&	(1)
2453141.60622 	&	0.00217 	&	-17126.5	&	-0.22383120 	&	(2)
2453142.58875 	&	0.00113 	&	-17123.5	&	-0.22171977 	&	(2)
2453143.40392 	&	0.00114 	&	-17121	&	-0.22356175 	&	(2)
2453143.56711 	&	0.00133 	&	-17120.5	&	-0.22377535 	&	(2)
2453146.50928 	&	0.00200 	&	-17111.5	&	-0.22285107 	&	(2)
2456021.90168 	&	0.00140 	&	-8313.5	&	-0.06252713 	&	(3)
2456065.38308 	&	0.00160 	&	-8180.5	&	-0.04621757 	&	(4)
2456737.64142 	&	0.00025 	&	-6123.5	&	-0.02614807 	&	(5)
2456742.54368 	&	0.00250 	&	-6108.5	&	-0.02597394 	&	(6)
2456746.46295 	&	0.00044 	&	-6096.5	&	-0.02835924 	&	(7)
2457107.10029 	&	0.00125 	&	-4993	&	-0.02055132 	&	(8)
2457107.26582 	&	0.00074 	&	-4992.5	&	-0.01842395 	&	(8)
2457447.31055 	&	0.00034 	&	-3952	&	-0.01449698 	&	(9)
2457561.36744 	&	0.00067 	&	-3603	&	-0.01261575 	&	(7)
2457879.51929 	&	0.00070 	&	-2629.5	&	-0.00562048 	&	(10)
2458256.00022 	&	0.00162 	&	-1477.5	&	-0.00427385 	&	(11)
2458608.95286 	&	0.00237 	&	-397.5	&	-0.00123446 	&	(11)
2458738.69580 	&	0.00009 	&	-0.5	&	0.00004260 	&	(12)
2458738.85914 	&	0.00015 	&	0	&	-0.00002000 	&	(12)
2458739.02279 	&	0.00010 	&	0.5	&	0.00022740 	&	(12)
2458739.18558 	&	0.00011 	&	1	&	-0.00038519 	&	(12)
2458739.34955 	&	0.00012 	&	1.5	&	0.00018221 	&	(12)
2458739.51247 	&	0.00011 	&	2	&	-0.00030038 	&	(12)
2458739.67602 	&	0.00010 	&	2.5	&	-0.00015298 	&	(12)
2458739.83934 	&	0.00009 	&	3	&	-0.00023557 	&	(12)
2458740.00293 	&	0.00014 	&	3.5	&	-0.00004817 	&	(12)
2458740.16601 	&	0.00011 	&	4	&	-0.00037077 	&	(12)
2458740.33001 	&	0.00013 	&	4.5	&	0.00022664 	&	(12)
2458740.49275 	&	0.00011 	&	5	&	-0.00043596 	&	(12)
2458740.65634 	&	0.00010 	&	5.5	&	-0.00024855 	&	(12)
2458740.81964 	&	0.00010 	&	6	&	-0.00035115 	&	(12)
2458740.98332 	&	0.00012 	&	6.5	&	-0.00007374 	&	(12)
2458741.14664 	&	0.00009 	&	7	&	-0.00015634 	&	(12)
2458741.31000 	&	0.00010 	&	7.5	&	-0.00019893 	&	(12)
2458741.47332 	&	0.00012 	&	8	&	-0.00028153 	&	(12)
2458741.63687 	&	0.00011 	&	8.5	&	-0.00013413 	&	(12)
2458741.80016 	&	0.00009 	&	9	&	-0.00024672 	&	(12)
2458741.96363 	&	0.00013 	&	9.5	&	-0.00017932 	&	(12)
2458742.12713 	&	0.00010 	&	10	&	-0.00008191 	&	(12)
2458742.29044 	&	0.00009 	&	10.5	&	-0.00017451 	&	(12)
2458742.45384 	&	0.00010 	&	11	&	-0.00017710 	&	(12)
2458742.61710 	&	0.00008 	&	11.5	&	-0.00031970 	&	(12)
2458742.78081 	&	0.00011 	&	12	&	-0.00001230 	&	(12)
2458742.94396 	&	0.00011 	&	12.5	&	-0.00026489 	&	(12)
2458743.10738 	&	0.00009 	&	13	&	-0.00024749 	&	(12)
2458743.27084 	&	0.00013 	&	13.5	&	-0.00019008 	&	(12)
2458743.43429 	&	0.00012 	&	14	&	-0.00014268 	&	(12)
2458743.59748 	&	0.00011 	&	14.5	&	-0.00035527 	&	(12)
2458743.76113 	&	0.00012 	&	15	&	-0.00010787 	&	(12)
2458743.92447 	&	0.00011 	&	15.5	&	-0.00017047 	&	(12)
2458744.08817 	&	0.00011 	&	16	&	0.00012694 	&	(12)
2458744.25106 	&	0.00009 	&	16.5	&	-0.00038566 	&	(12)
2458744.41512 	&	0.00012 	&	17	&	0.00027175 	&	(12)
2458744.57804 	&	0.00013 	&	17.5	&	-0.00021085 	&	(12)
2458744.74178 	&	0.00010 	&	18	&	0.00012656 	&	(12)
2458744.90468 	&	0.00008 	&	18.5	&	-0.00037604 	&	(12)
2458745.06886 	&	0.00009 	&	19	&	0.00040137 	&	(12)
2458745.23145 	&	0.00012 	&	19.5	&	-0.00041123 	&	(12)
2458745.39538 	&	0.00010 	&	20	&	0.00011617 	&	(12)
2458745.55823 	&	0.00010 	&	20.5	&	-0.00043642 	&	(12)
2458745.72221 	&	0.00011 	&	21	&	0.00014098 	&	(12)
2458745.88532 	&	0.00012 	&	21.5	&	-0.00015161 	&	(12)
2458746.04892 	&	0.00010 	&	22	&	0.00004579 	&	(12)
2458746.21207 	&	0.00011 	&	22.5	&	-0.00020680 	&	(12)
2458746.37573 	&	0.00010 	&	23	&	0.00005060 	&	(12)
2458746.53860 	&	0.00011 	&	23.5	&	-0.00048200 	&	(12)
2458746.70259 	&	0.00010 	&	24	&	0.00010541 	&	(12)
2458746.86557 	&	0.00009 	&	24.5	&	-0.00031719 	&	(12)
2458747.02952 	&	0.00012 	&	25	&	0.00023022 	&	(12)
2458747.19229 	&	0.00008 	&	25.5	&	-0.00040238 	&	(12)
2458747.35632 	&	0.00009 	&	26	&	0.00022503 	&	(12)
2458747.51917 	&	0.00009 	&	26.5	&	-0.00032757 	&	(12)
2458747.68338 	&	0.00011 	&	27	&	0.00047983 	&	(12)
2458747.84595 	&	0.00011 	&	27.5	&	-0.00035276 	&	(12)
2458748.00982 	&	0.00010 	&	28	&	0.00011464 	&	(12)
2458748.17282 	&	0.00010 	&	28.5	&	-0.00028795 	&	(12)
2458748.33682 	&	0.00009 	&	29	&	0.00030945 	&	(12)
2458748.49935 	&	0.00010 	&	29.5	&	-0.00056314 	&	(12)
2458748.66367 	&	0.00011 	&	30	&	0.00035426 	&	(12)
2458748.82615 	&	0.00012 	&	30.5	&	-0.00056833 	&	(12)
2458748.99035 	&	0.00010 	&	31	&	0.00022907 	&	(12)
2458749.15283 	&	0.00010 	&	31.5	&	-0.00069353 	&	(12)
2458749.31714 	&	0.00009 	&	32	&	0.00021388 	&	(12)
2458749.47982 	&	0.00009 	&	32.5	&	-0.00050872 	&	(12)
2458749.64382 	&	0.00013 	&	33	&	0.00008869 	&	(12)
2458749.80662 	&	0.00012 	&	33.5	&	-0.00051391 	&	(12)
2458749.97075 	&	0.00010 	&	34	&	0.00021350 	&	(12)
2458750.13336 	&	0.00019 	&	34.5	&	-0.00057910 	&	(12)
2458750.29771 	&	0.00018 	&	35	&	0.00036830 	&	(12)
2458751.76751 	&	0.00010 	&	39.5	&	-0.00045506 	&	(12)
2458751.93150 	&	0.00010 	&	40	&	0.00013235 	&	(12)
2458752.09426 	&	0.00010 	&	40.5	&	-0.00051025 	&	(12)
2458752.25825 	&	0.00012 	&	41	&	0.00007716 	&	(12)
2458752.42088 	&	0.00012 	&	41.5	&	-0.00069544 	&	(12)
2458752.58529 	&	0.00009 	&	42	&	0.00031197 	&	(12)
2458752.74819 	&	0.00013 	&	42.5	&	-0.00019063 	&	(12)
2458752.91215 	&	0.00009 	&	43	&	0.00036677 	&	(12)
2458753.07487 	&	0.00012 	&	43.5	&	-0.00031582 	&	(12)
2458753.23879 	&	0.00010 	&	44	&	0.00020158 	&	(12)
2458753.40163 	&	0.00012 	&	44.5	&	-0.00036101 	&	(12)
2458753.56554 	&	0.00011 	&	45	&	0.00014639 	&	(12)
2458753.72826 	&	0.00012 	&	45.5	&	-0.00053620 	&	(12)
2458753.89238 	&	0.00012 	&	46	&	0.00018120 	&	(12)
2458754.05503 	&	0.00010 	&	46.5	&	-0.00057140 	&	(12)
2458754.21924 	&	0.00011 	&	47	&	0.00023601 	&	(12)
2458754.38199 	&	0.00010 	&	47.5	&	-0.00041659 	&	(12)
2458754.54584 	&	0.00012 	&	48	&	0.00003082 	&	(12)
2458754.70878 	&	0.00011 	&	48.5	&	-0.00043178 	&	(12)
2458754.87297 	&	0.00011 	&	49	&	0.00035563 	&	(12)
2458755.03540 	&	0.00012 	&	49.5	&	-0.00061697 	&	(12)
2458755.19958 	&	0.00008 	&	50	&	0.00016043 	&	(12)
2458755.36223 	&	0.00010 	&	50.5	&	-0.00059216 	&	(12)
2458755.52662 	&	0.00009 	&	51	&	0.00039524 	&	(12)
2458755.68897 	&	0.00010 	&	51.5	&	-0.00065735 	&	(12)
2458755.85334 	&	0.00009 	&	52	&	0.00031005 	&	(12)
2458756.01590 	&	0.00012 	&	52.5	&	-0.00053254 	&	(12)
2458756.18026 	&	0.00010 	&	53	&	0.00042486 	&	(12)
2458756.34252 	&	0.00011 	&	53.5	&	-0.00071773 	&	(12)
2458756.50683 	&	0.00011 	&	54	&	0.00018967 	&	(12)
2458756.66949 	&	0.00011 	&	54.5	&	-0.00055293 	&	(12)
2458756.83391 	&	0.00010 	&	55	&	0.00046448 	&	(12)
2458756.99629 	&	0.00012 	&	55.5	&	-0.00055812 	&	(12)
2458757.16062 	&	0.00010 	&	56	&	0.00036929 	&	(12)
2458757.32318 	&	0.00010 	&	56.5	&	-0.00047331 	&	(12)
2458757.48733 	&	0.00011 	&	57	&	0.00027410 	&	(12)
2458757.64959 	&	0.00010 	&	57.5	&	-0.00086850 	&	(12)
2458757.81401 	&	0.00010 	&	58	&	0.00014890 	&	(12)
2458757.97670 	&	0.00012 	&	58.5	&	-0.00056369 	&	(12)
2458758.14117 	&	0.00010 	&	59	&	0.00050371 	&	(12)
2458758.30343 	&	0.00014 	&	59.5	&	-0.00063888 	&	(12)
2458758.46766 	&	0.00011 	&	60	&	0.00018852 	&	(12)
2458758.63010 	&	0.00009 	&	60.5	&	-0.00077407 	&	(12)
2458758.79454 	&	0.00012 	&	61	&	0.00026333 	&	(12)
2458758.95692 	&	0.00011 	&	61.5	&	-0.00075927 	&	(12)
2458759.12114 	&	0.00012 	&	62	&	0.00005814 	&	(12)
2458759.28370 	&	0.00012 	&	62.5	&	-0.00078446 	&	(12)
2458759.44828 	&	0.00012 	&	63	&	0.00039295 	&	(12)
2458759.61049 	&	0.00011 	&	63.5	&	-0.00079965 	&	(12)
2458759.77507 	&	0.00011 	&	64	&	0.00037776 	&	(12)
2458759.93718 	&	0.00014 	&	64.5	&	-0.00091484 	&	(12)
2458760.10199 	&	0.00011 	&	65	&	0.00049257 	&	(12)
2458760.26384 	&	0.00013 	&	65.5	&	-0.00106003 	&	(12)
2458760.42871 	&	0.00010 	&	66	&	0.00040737 	&	(12)
2458760.59106 	&	0.00012 	&	66.5	&	-0.00064522 	&	(12)
2458760.75536 	&	0.00011 	&	67	&	0.00025218 	&	(12)
2458760.91760 	&	0.00012 	&	67.5	&	-0.00091041 	&	(12)
2458761.08227 	&	0.00009 	&	68	&	0.00035699 	&	(12)
2458761.24442 	&	0.00010 	&	68.5	&	-0.00089560 	&	(12)
2458761.40896 	&	0.00011 	&	69	&	0.00024180 	&	(12)
2458761.57108 	&	0.00012 	&	69.5	&	-0.00104080 	&	(12)
2458761.73586 	&	0.00011 	&	70	&	0.00033661 	&	(12)
2458761.89809 	&	0.00011 	&	70.5	&	-0.00083599 	&	(12)
2458762.06263 	&	0.00010 	&	71	&	0.00030142 	&	(12)
2458762.22494 	&	0.00010 	&	71.5	&	-0.00079118 	&	(12)
2458762.38940 	&	0.00012 	&	72	&	0.00026623 	&	(12)
2458762.55170 	&	0.00012 	&	72.5	&	-0.00083637 	&	(12)
2458762.71608 	&	0.00010 	&	73	&	0.00014104 	&	(12)
2458762.87850 	&	0.00014 	&	73.5	&	-0.00084156 	&	(12)
2458763.04308 	&	0.00012 	&	74	&	0.00033584 	&	(12)
2458763.20514 	&	0.00016 	&	74.5	&	-0.00100675 	&	(12)
2458928.24111 	&	0.00014 	&	579.5	&	-0.00165836 	&	(12)
2458928.40657 	&	0.00012 	&	580	&	0.00039905 	&	(12)
2458928.56805 	&	0.00011 	&	580.5	&	-0.00152355 	&	(12)
2458928.73346 	&	0.00013 	&	581	&	0.00048385 	&	(12)
2458928.89502 	&	0.00014 	&	581.5	&	-0.00135874 	&	(12)
2458929.06049 	&	0.00011 	&	582	&	0.00070866 	&	(12)
2458929.22156 	&	0.00012 	&	582.5	&	-0.00162393 	&	(12)
2458929.38716 	&	0.00011 	&	583	&	0.00057347 	&	(12)
2458929.54854 	&	0.00010 	&	583.5	&	-0.00144912 	&	(12)
2458929.71406 	&	0.00012 	&	584	&	0.00066828 	&	(12)
2458929.87544 	&	0.00012 	&	584.5	&	-0.00135431 	&	(12)
2458930.04073 	&	0.00012 	&	585	&	0.00053309 	&	(12)
2458930.20217 	&	0.00012 	&	585.5	&	-0.00142951 	&	(12)
2458930.36753 	&	0.00010 	&	586	&	0.00052790 	&	(12)
2458930.52892 	&	0.00010 	&	586.5	&	-0.00148470 	&	(12)
2458930.69449 	&	0.00010 	&	587	&	0.00068271 	&	(12)
